Product Line	Item Number	Item Type	Subinventory Location	Inventory Location	Parent Lot Number	Lot Number	Quantity	UOM	Status	Summarize Date	Creation Date
2000	357662	CW-FG	FIN BUND	B28	107-136093-00	357662-000506	2300	LB	Active	3/13/2023	January 13, 2023
2000	357662	CW-FG	FIN BUND	B28	107-136093-00	357662-000506	2300	LB	Active	3/14/2023	January 13, 2023
2000	357662	CW-FG	FIN BUND	B28	107-136093-00	357662-000506	2300	LB	Active	3/15/2023	January 13, 2023
2000	357662	CW-FG	FIN BUND	B28	107-136093-00	357662-000506	2300	LB	Active	3/16/2023	January 13, 2023
2000	357662	CW-FG	FIN BUND	B28	107-136093-00	357662-000506	2300	LB	Active	3/17/2023	January 13, 2023
2000	357662	CW-FG	FIN BUND	B28	107-136093-00	357662-000506	2300	LB	Active	3/18/2023	January 13, 2023
2000	357662	CW-FG	FIN BUND	B28	107-136093-00	357662-000506	2300	LB	Active	3/19/2023	January 13, 2023
2000	357662	CW-FG	FIN BUND	B28	107-136093-00	357662-000506	2300	LB	Active	3/20/2023	January 13, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-040716-00	357663-001478	2300	LB	Active	11/2/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-040716-00	357663-001478	2300	LB	Active	11/3/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-282430-00	357663-001428	2300	LB	Active	9/8/2023	August 19, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331346-00	357663-001473	2300	LB	Active	11/7/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331349-00	357663-001476	2300	LB	Active	11/22/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331349-00	357663-001476	2300	LB	Active	11/23/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331349-00	357663-001476	2300	LB	Active	11/24/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331349-00	357663-001476	2300	LB	Active	11/25/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331349-00	357663-001476	2300	LB	Active	11/26/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331349-00	357663-001476	2300	LB	Active	11/27/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331350-00	357663-001474	2300	LB	Active	12/10/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331350-00	357663-001474	2300	LB	Active	12/11/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331350-00	357663-001474	2300	LB	Active	12/12/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-331350-00	357663-001475	2300	LB	Active	12/13/2023	October 17, 2023
2000	357663	CW-FG	DOCK-STG	DOCK 1	107-378268-00	357663-001534	2300	LB	Active	1/24/2024	December 29, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-040716-00	357663-001478	2300	LB	Active	10/18/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-040716-00	357663-001478	2300	LB	Active	10/19/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-040716-00	357663-001478	2300	LB	Active	10/20/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-040716-00	357663-001478	2300	LB	Active	10/21/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-040716-00	357663-001478	2300	LB	Active	10/22/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-331346-00	357663-001473	2300	LB	Active	10/18/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-331346-00	357663-001473	2300	LB	Active	10/19/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-331346-00	357663-001473	2300	LB	Active	10/20/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-331346-00	357663-001473	2300	LB	Active	10/21/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-331346-00	357663-001473	2300	LB	Active	10/22/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-331349-00	357663-001476	2300	LB	Active	10/18/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-331349-00	357663-001476	2300	LB	Active	10/19/2023	October 17, 2023
2000	357663	CW-FG	FGS	L2 FGS	107-331349-00	357663-001476	2300	LB	Active	10/20/2023	October 17, 2023
2000	357663	CW-FG	FIN BUND	A12	107-282430-00	357663-001428	2300	LB	Active	9/4/2023	August 19, 2023
2000	357663	CW-FG	FIN BUND	A12	107-282430-00	357663-001428	2300	LB	Active	9/5/2023	August 19, 2023
2000	357663	CW-FG	FIN BUND	A12	107-282430-00	357663-001428	2300	LB	Active	9/6/2023	August 19, 2023
2000	357663	CW-FG	FIN BUND	A12	107-282430-00	357663-001428	2300	LB	Active	9/7/2023	August 19, 2023
2000	357663	CW-FG	FIN BUND	A38	107-331349-00	357663-001476	2300	LB	Active	11/10/2023	October 17, 2023
2000	357663	CW-FG	FIN BUND	A38	107-331349-00	357663-001476	2300	LB	Active	11/11/2023	October 17, 2023
2000	357663	CW-FG	FIN BUND	A38	107-331349-00	357663-001476	2300	LB	Active	11/12/2023	October 17, 2023
